id                         tags                           presets        tenet
active-voice               prose, docs, standalone        -              Active voice. Prefer it. Catch "is/are/was/were + past …
assertion-justified        code, types                    agent-hygiene  A comment justifying a type assertion, cast, or uncheck…
comment-why                code, comments                 agent-hygiene  A comment says why the code exists or why it is written…
concrete-subject           prose, docs, standalone        -              Every sentence needs a human subject doing something. N…
inline-header-detail       prose, docs, standalone        -              Inline-header lists. The tell is a bold label and colon…
no-connector-colon         prose, docs, standalone        -              Colon overuse. Colons are fine before a list or example…
no-defensive-nil           code, errors, standalone       -              Defensive `if x == nil { return nil }` in producer / pr…
no-fallback                code, errors                   agent-hygiene  Do not add fallbacks, default-to-something-that-works-i…
no-false-contrast          prose, docs                    unslop-prose   'Not just X, but Y.' State the point directly instead.
no-false-range             prose, docs, standalone        -              False ranges. 'from X to Y' where X and Y aren't on a m…
no-generic-conclusion      prose, docs                    unslop-prose   Generic conclusions. 'The future looks bright.' State s…
no-hedging                 prose, docs, standalone        -              Excessive hedging. 'could potentially possibly be argue…
no-metaphor-noun           prose, docs                    unslop-prose   Abstract metaphor nouns. Substrate, wedge, vector, locu…
no-mocking                 code, tests                    agent-hygiene  You must never mock anything in tests.
no-placeholder-phrase      code, comments                 agent-hygiene  No code or comment marks its own incompleteness with ph…
no-throat-clearing         prose, docs, standalone        -              Do not open responses or sections with fluff.
no-transcript-comment      code, comments                 agent-hygiene  Do not add comments that reference context from the tra…
project-specific           prose, docs                    unslop-prose   Say what it does, not how it feels. The fix names the m…
subject-is-a-statement     commit, pr, prose, standalone  -              The subject or title is a complete statement in the imp…
subject-says-what-changed  commit, pr, prose              pr             The subject or title says what changed for a reader, no…
